age_Ma,Name,CO2_moles,duration_Ma,mol_C_per_a,g_C_per_a,Mt_C_per_a
-16.5,Columbia River ,6.36E+16,1.3,4.89E+10,5.87E+11,5.87E-01
-31, Afro-Arabia,1.27E+17,1.5,8.47E+10,1.02E+12,1.02E+00
-62, North Atlantic Igneous Province,6.54E+17,3,2.18E+11,2.62E+12,2.62E+00
-66, Deccan traps,3.12E+18,1,3.12E+12,3.75E+13,3.75E+01
-70, Carmacks event,1.32E+17,1.7,7.75E+10,9.31E+11,9.31E-01
-90, Madagascar event,1.34E+18,4,3.35E+11,4.02E+12,4.02E+00
-90, Madagascar event,2.60E+17,4,6.49E+10,7.80E+11,7.80E-01
-90, Carribean-Colombian event,1.63E+18,1,1.63E+12,1.96E+13,1.96E+01
-110, Marie Byrd Land event,1.60E+17,1.7,9.42E+10,1.13E+12,1.13E+00
-110,Nauru Basin event ,3.27E+17,1.7,1.92E+11,2.31E+12,2.31E+00
-118, Rajmahal/Sylhet province,7.26E+15,1.7,4.27E+09,5.13E+10,5.13E-02
-120,Whitsunday Volcanic Province,2.50E+18,15,1.67E+11,2.00E+12,2.00E+00
-130, Alpha ridge,2.01E+17,1.7,1.18E+11,1.42E+12,1.42E+00
-130, Queen Elizabeth Islands,2.01E+17,1.7,1.18E+11,1.42E+12,1.42E+00
-130, High Arctic Large Igneous province,3.16E+17,1.7,1.86E+11,2.23E+12,2.23E+00
-130, Mid-Pacific mountains,1.20E+17,1.7,7.05E+10,8.47E+11,8.47E-01
-132, Comei-Bunbury LIP,1.42E+17,1.7,8.35E+10,1.00E+12,1.00E+00
-132, Parana-Etendeka event,8.35E+17,2,4.18E+11,5.02E+12,5.02E+00
-140,SW Greenland trap,1.21E+17,1.7,7.12E+10,8.55E+11,8.55E-01
-150, Magellan Rise,6.54E+17,1.7,3.85E+11,4.62E+12,4.62E+00
-150, Shatsky Rise,9.08E+17,1.7,5.34E+11,6.41E+12,6.41E+00
-152, Sorachi event,2.18E+17,1.7,1.28E+11,1.54E+12,1.54E+00
-160,NW Austrailian Margin,2.91E+17,1.7,1.71E+11,2.05E+12,2.05E+00
-183, Karoo-Ferrar event,1.82E+18,2,9.08E+11,1.09E+13,1.09E+01
-204, Central Atlantic Magmatic Province,1.09E+18,0.6,1.82E+12,2.19E+13,2.19E+01
-230, Wrangellia event,3.63E+17,1.7,2.14E+11,2.57E+12,2.57E+00
-251, Siberian Traps,1.09E+18,2,1.00E+13,1.20E+14,1.20E+02
-258, Emeishan event,1.09E+17,1.7,6.41E+10,7.70E+11,7.70E-01
-280, Cache Creek event,1.46E+17,1.7,8.56E+10,1.03E+12,1.03E+00
-280,Himalaya-Neotethys event,3.63E+16,1.7,2.14E+10,2.57E+11,2.57E-01
-280, Tarim Block event,2.72E+16,1.7,1.60E+10,1.92E+11,1.92E-01
-300, European-Northwest Africa event,1.57E+17,1.7,9.23E+10,1.11E+12,1.11E+00
-330,Tianshan,3.48E+18,1.7,2.05E+12,2.46E+13,2.46E+01
-380,Yakutsk-Vilyui,5.76E+17,1.7,3.39E+11,4.07E+12,4.07E+00
-380,Kola-Dneiper,4.69E+19,1.7,1.04E+11,1.25E+12,1.25E+00
-510,Kalkarindji,7.75E+18,1.7,4.56E+12,5.48E+13,5.48E+01
-540,Wichita,9.08E+16,1.7,5.34E+10,6.41E+11,6.41E-01
-620,CIMP,1.88E+17,1.7,1.10E+11,1.32E+12,1.32E+00
-720,Franklin,1.05E+19,1.7,6.15E+12,7.39E+13,7.39E+01
-720,Dovyren-Kingash,1.51E+17,1.7,8.87E+10,1.07E+12,1.07E+00
-720,Mutare,1.28E+17,1.7,7.56E+10,9.08E+11,9.08E-01
